"","RT_or_not","t_hash","t_mention","t_sentiment","V5","V6","V7","t_link"
"353",0,4,0,2,0,0,2,2
"354",0,4,0,1,1,0,5,1
"355",0,4,0,1,1,0,4,1
"356",0,2,0,3,0,0,3,1
"357",0,2,0,2,0,0,2,1
"358",0,2,0,2,0,0,0,1
"359",0,1,0,3,0,0,2,1
"360",0,1,0,2,0,0,3,1
"361",0,2,0,3,0,0,0,1
"362",0,3,0,3,0,0,1,2
"363",0,1,0,2,0,0,3,1
"364",0,1,0,2,0,0,1,1
"365",0,1,0,3,0,0,1,1
"366",0,4,0,2,0,0,0,1
"367",0,1,0,2,0,0,0,1
"368",0,1,0,1,0,0,0,1
"369",1,2,1,2,0,0,0,0
"370",0,1,0,2,0,0,1,1
"371",0,2,0,2,0,0,1,1
"372",0,1,0,2,0,0,1,0
"373",0,2,0,3,0,0,2,2
"374",0,1,0,2,0,0,1,1
"375",1,1,1,2,1,0,0,0
"376",0,4,0,2,0,0,2,0
"377",1,2,3,3,0,1,1,1
"378",0,1,0,2,0,0,2,1
"379",0,2,0,2,0,0,0,1
"380",0,4,0,3,0,0,2,1
"381",0,11,0,2,0,0,1,1
"382",0,2,0,1,0,0,1,0
"383",0,2,0,2,0,0,0,1
"384",0,3,0,3,0,0,1,1
"385",0,1,0,2,0,0,1,1
"386",0,2,0,2,0,0,1,0
"387",0,3,1,2,0,0,0,0
"388",1,4,2,2,0,0,1,2
"389",0,4,0,2,0,0,0,0
"390",1,2,3,3,0,1,1,1
"391",0,1,0,2,0,1,1,0
"392",0,2,0,3,0,0,0,1
"393",0,1,0,1,0,0,0,1
"394",0,1,0,2,0,0,2,1
"395",0,1,0,3,0,0,0,1
"396",0,1,0,1,0,0,0,1
"397",0,1,0,2,0,0,2,1
"398",0,1,0,2,0,0,1,1
"399",0,1,0,3,0,0,2,1
"400",0,1,0,2,0,0,3,1
"401",0,1,0,2,0,0,0,1
"402",0,1,0,2,0,0,1,1
"403",0,1,0,2,0,0,2,1
"404",0,4,0,2,0,0,0,1
"405",0,1,1,2,0,0,0,1
"406",0,2,0,2,0,0,4,1
"407",1,2,3,3,0,1,1,1
"408",0,6,0,2,0,0,1,1
"409",0,1,0,1,0,0,1,2
"410",0,1,0,1,0,0,1,2
"411",0,1,0,1,0,0,1,2
"412",0,1,0,1,0,0,1,2
"413",0,1,0,1,0,0,2,1
"414",0,1,0,1,0,0,2,1
"415",0,1,0,1,0,0,2,1
"416",0,7,0,1,0,0,1,1
"417",1,3,1,2,0,1,0,1
"418",0,1,0,2,0,0,1,2
"419",0,6,1,1,0,0,1,1
"420",0,2,0,2,0,0,2,1
"421",1,2,3,3,0,1,1,1
"422",1,2,1,2,0,0,2,1
"423",0,5,0,3,0,0,0,1
"424",0,5,0,2,0,0,1,1
"425",0,2,0,2,0,0,4,1
"426",0,2,0,2,0,0,1,1
"427",0,2,0,2,0,0,4,1
"428",0,2,0,1,0,0,1,2
"429",1,3,1,3,0,0,1,2
"430",0,9,0,1,0,0,1,1
"431",0,2,0,2,0,0,1,1
"432",0,8,0,2,0,0,0,1
"433",0,5,0,2,0,0,1,1
"434",0,2,0,2,0,0,0,3
"435",0,2,0,2,0,0,0,0
"436",0,3,0,1,1,0,1,2
"437",0,3,0,2,0,0,1,2
"438",0,1,0,2,0,0,2,1
"439",0,3,0,2,0,0,0,2
"440",0,3,0,3,0,0,1,2
"441",0,1,0,3,0,0,0,1
"442",0,4,0,2,0,0,1,1
"443",0,4,0,1,0,0,1,1
"444",0,4,0,2,0,0,1,1
"445",0,4,0,2,0,0,1,1
"446",0,2,0,2,0,0,0,1
"447",0,5,1,2,0,0,1,1
"448",0,3,0,2,0,0,1,2
"449",1,1,2,2,0,0,1,1
"450",0,3,0,2,0,0,1,2
"451",0,2,0,2,0,0,0,1
"452",0,3,0,2,0,0,1,2
"453",0,3,0,2,0,0,0,2
"454",0,3,0,2,0,0,3,2
"455",0,3,0,2,0,0,1,2
"456",0,4,1,3,0,0,0,1
"457",0,4,0,3,0,0,0,2
"458",0,5,0,3,0,0,1,1
"459",0,4,0,3,0,0,0,1
"460",0,3,0,2,0,0,0,2
"461",1,9,2,2,0,0,1,1
"462",0,3,0,2,0,0,2,2
"463",0,3,0,2,0,0,0,2
"464",0,3,0,2,0,0,1,2
"465",0,3,0,3,0,0,1,2
"466",0,3,0,2,0,0,0,2
"467",0,3,0,2,0,0,1,2
"468",0,3,0,2,0,0,0,2
"469",0,3,0,2,0,0,1,2
"470",0,4,0,1,0,0,0,0
"471",0,4,0,2,0,0,1,2
"472",0,3,0,2,0,0,1,2
"473",0,3,0,2,0,0,4,2
"474",1,3,1,2,0,0,1,1
"475",1,3,1,2,0,0,1,1
"476",1,3,1,2,0,0,1,1
"477",1,3,1,2,0,0,1,1
"478",1,3,1,2,0,0,1,1
"479",1,3,1,2,0,0,1,1
"480",1,3,1,2,0,0,1,1
"481",1,3,1,2,0,0,1,1
"482",1,2,3,3,0,1,1,1
"483",0,3,0,1,1,0,0,2
"484",0,4,0,2,0,0,0,1
"485",0,1,0,3,0,0,1,1
"486",0,3,0,2,0,0,1,2
"487",0,2,0,2,0,0,0,1
"488",0,1,1,3,0,0,2,1
"489",0,4,0,2,0,0,2,1
"490",0,4,0,2,0,0,0,0
"491",0,7,0,0,0,0,0,1
"492",0,2,0,2,0,1,1,1
"493",0,2,0,3,0,0,3,1
"494",0,2,0,1,0,0,1,1
"495",0,2,0,3,0,0,1,1
"496",0,2,0,1,1,0,1,1
"497",1,4,1,3,0,0,0,2
"498",0,3,0,2,0,0,1,1
"499",0,2,0,2,0,1,1,1
"500",0,2,0,3,0,0,3,1
"501",0,2,0,1,0,0,1,1
"502",0,2,0,3,0,0,1,1
"503",0,2,0,1,1,0,1,1
